employee_id,pickup_time,drop_time
E005,07:50,08:41
E038,07:15,07:20
E009,08:30,09:32
E019,07:40,08:01
E041,07:41,08:01
E060,08:01,08:12
E061,08:01,08:12
E071,08:00,08:12
E045,08:49,09:16
E050,08:45,09:16
E030,07:05,07:07
E007,08:20,09:19
E033,07:50,08:06
E001,08:52,09:40
E056,09:31,09:40
E054,08:40,09:02
E023,08:42,09:02
E063,08:40,09:02
E016,08:57,09:02
E070,08:45,09:02
E034,08:40,09:02
E015,08:17,08:18
E010,07:30,08:18
E004,07:30,08:18
E021,08:52,08:54
E059,08:36,08:54
E022,07:20,07:43
E027,07:14,07:43
E002,08:45,09:34
E006,08:00,08:55
E055,08:47,08:55
E026,07:00,07:10
E051,07:01,07:10
E035,07:18,07:23
E067,07:30,07:34
E043,07:54,08:11
E064,07:52,08:11
E029,08:20,08:25
E017,08:15,08:25
E052,08:32,08:38
E025,09:04,09:29
E044,09:37,09:42
E024,09:36,09:42
E012,09:48,09:53
E020,08:40,08:52
E039,08:40,08:52
E040,08:40,08:57
E047,08:51,08:57
E014,07:46,08:03
E013,08:24,08:43
E049,08:51,08:58
E073,09:06,09:15
E036,09:33,09:51
E062,07:34,07:38
E072,07:30,07:38
E042,07:45,07:49
E068,07:47,07:49
E066,08:32,08:59
E048,08:30,08:59
E057,09:07,09:13
E037,09:11,09:13
E069,09:22,09:34
E032,09:25,09:34
E058,08:44,08:51
E008,08:15,08:51
E003,08:15,08:51
E011,08:34,09:23
E046,07:46,08:05
E028,07:45,08:05
E031,08:22,08:27
E018,08:12,08:27
E065,08:47,09:06
E053,08:48,09:06
